RTT,cwnd
2,2
4,4
6,1
8,2
10,4
12,5
14,6
16,7
18,8
20,9
22,10
24,11
26,12
28,13
30,14
32,15
34,16
36,17
38,18
40,19
42,20
44,21
46,22
48,23
50,1
52,12
54,13
56,14
58,15
60,16
62,17
64,18
66,19
68,20
70,21
72,22
74,23
76,24
78,25
80,26
82,27
84,28
86,29
88,2
90,2
92,3
94,4
96,5
98,6
100,2
102,2
104,3
106,2
108,3
110,4
112,5
114,1
116,3
118,4
120,1
122,3
124,4
126,1
128,3
130,4
132,5
134,6
136,7
138,8
140,9
142,10
144,11
146,12
148,13
150,14
152,15
154,8
156,5
158,1
160,2
162,3
164,4
166,5
168,6
170,7
172,8
174,9
176,10
178,11
180,1
182,4
184,6
186,7
188,8
190,9
192,10
194,11
196,12
198,13
200,5
202,7
204,8
206,2
208,2
210,3
212,4
214,5
216,6
218,7
220,8
222,2
224,2
226,3
228,4
230,5
232,6
234,7
236,2
238,2
240,2
242,3
244,4
246,5
248,6
250,7
252,2
254,2
256,2
258,3
260,4
262,1
264,3
266,2
268,2
270,3
272,4
274,5
276,6
278,7
280,8
282,1
284,3
286,5
288,6
290,7
292,8
294,9
296,1
298,2
300,5
302,6
304,7
306,8
308,9
310,10
312,11
314,1
316,4
318,1
320,3
322,4
324,1
326,3
328,4
330,5
332,6
334,1
336,2
338,4
340,5
342,6
344,7
346,1
348,2
350,3
352,4
354,1
356,3
358,4
360,5
362,6
364,7
366,1
368,4
370,5
372,6
374,7
376,8
378,9
380,1
382,3
384,5
386,1
388,3
390,4
392,5
394,6
396,7
398,8
