RTT,cwnd
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,42
43,43
44,44
45,45
46,46
47,47
48,48
49,49
50,50
51,51
52,52
53,53
54,54
55,55
56,56
57,57
58,58
59,59
60,60
61,61
62,62
63,63
64,64
65,65
66,66
67,67
68,68
69,69
70,70
71,71
72,72
73,73
74,74
75,75
76,76
77,77
78,78
79,79
80,80
81,81
82,82
83,83
84,84
85,85
86,86
87,87
88,88
89,89
90,90
91,91
92,92
93,93
94,94
95,95
96,96
97,97
98,98
99,99
100,101
101,102
102,103
103,104
104,105
105,106
106,107
107,108
108,109
109,110
110,111
111,112
112,113
113,114
114,115
115,116
116,117
117,118
118,119
119,120
120,121
121,122
122,123
123,124
124,125
125,126
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,153
153,154
154,155
155,156
156,157
157,158
158,159
159,160
160,161
161,162
162,1
163,2
164,3
165,4
166,5
167,6
168,7
169,8
170,9
171,10
172,11
173,12
174,13
175,14
176,15
177,16
178,17
179,18
180,19
181,1
182,2
183,3
184,4
185,5
186,6
187,7
188,8
189,9
190,10
191,11
192,12
193,13
194,14
195,15
196,16
197,17
198,18
199,19
200,20
201,21
202,22
203,23
204,24
205,25
206,26
207,27
208,28
209,29
210,30
211,2
212,3
213,4
214,5
215,6
216,7
217,8
218,9
219,10
220,11
221,12
222,13
223,14
224,15
225,16
226,17
227,18
228,19
229,20
230,21
231,22
232,23
233,24
234,25
235,26
236,27
237,28
238,29
239,30
240,31
241,32
242,33
243,34
244,35
245,36
246,37
247,38
248,39
249,40
250,41
251,42
252,43
253,44
254,45
255,46
256,47
257,48
258,49
259,50
260,51
261,52
262,53
263,54
264,55
265,56
266,57
267,58
268,59
269,60
270,61
271,62
272,63
273,64
274,65
275,66
276,67
277,68
278,69
279,70
280,71
281,72
282,73
283,74
284,75
285,76
286,77
287,78
288,79
289,80
290,81
291,82
292,83
293,84
294,85
295,86
296,87
297,88
298,89
299,90
300,91
301,92
302,93
303,94
304,95
305,96
306,97
307,98
308,99
309,101
310,102
311,103
312,104
313,105
314,106
315,107
316,108
317,109
318,110
319,111
320,112
321,113
322,114
323,115
324,1
325,2
326,3
327,4
328,5
329,6
330,7
331,8
332,9
333,10
334,11
335,12
336,13
337,14
338,15
339,16
340,17
341,18
342,19
343,20
344,21
345,22
346,23
347,24
348,25
349,26
350,27
351,28
352,29
353,30
354,31
355,32
356,33
357,34
358,35
359,36
360,37
361,38
362,39
363,40
364,41
365,42
366,43
367,44
368,45
369,46
370,47
371,48
372,49
373,50
374,51
375,52
376,53
377,54
378,55
379,56
380,57
381,58
382,59
383,60
384,61
385,62
386,63
387,64
388,65
389,66
390,67
391,68
392,69
393,70
394,71
395,72
396,73
397,74
398,75
399,76
400,77
401,78
402,79
403,80
404,81
405,82
406,83
407,84
408,85
409,86
410,87
411,88
412,89
413,90
414,91
415,92
416,93
417,94
418,95
419,96
420,97
421,98
422,99
423,101
424,102
425,103
426,104
427,105
428,106
429,107
430,108
431,109
432,110
433,111
434,112
435,113
436,114
437,115
438,116
439,117
440,118
441,119
442,120
443,121
444,122
445,123
446,124
447,125
448,126
449,127
450,128
451,129
452,3
453,4
454,5
455,6
456,7
457,8
458,9
459,10
460,11
461,12
462,13
463,14
464,15
465,16
466,17
467,18
468,19
469,20
470,21
471,22
472,23
473,24
474,25
475,26
476,27
477,28
478,29
479,30
480,31
481,32
482,33
483,34
484,35
485,36
486,37
487,38
488,39
489,40
490,41
491,42
492,43
493,44
494,45
495,46
496,47
497,48
498,49
499,50
500,51
501,52
502,53
503,54
504,55
505,56
506,57
507,58
508,59
509,60
510,61
511,62
512,63
513,64
514,65
515,66
516,67
517,68
518,69
519,70
520,71
521,72
522,73
523,74
524,75
525,76
526,77
527,78
528,79
529,80
530,81
531,82
532,83
533,84
534,85
535,86
536,87
537,88
538,89
539,90
540,91
541,92
542,93
543,94
544,95
545,96
546,97
547,98
548,99
549,101
550,102
551,103
552,104
553,105
554,106
555,107
556,108
557,109
558,110
559,111
560,112
561,113
562,114
563,115
564,116
