Time,Retransmissions
2,0
4,0
6,1
8,1
10,1
12,2
14,2
16,2
18,2
20,3
22,4
24,5
26,5
28,8
30,9
32,10
34,12
36,14
38,17
40,20
42,20
44,20
46,26
48,28
50,35
52,35
54,36
56,39
58,41
60,41
62,41
64,41
66,43
68,47
70,49
72,54
74,57
76,57
78,63
80,66
82,71
84,72
86,80
88,85
90,86
92,86
94,86
96,86
98,86
100,87
102,89
104,89
106,90
108,90
110,90
112,90
114,91
116,91
118,91
120,92
122,92
124,92
126,93
128,93
130,93
132,94
134,94
136,95
138,95
140,97
142,97
144,98
146,98
148,98
150,99
152,101
154,104
156,105
158,106
160,108
162,108
164,108
166,108
168,108
170,108
172,108
174,109
176,110
178,112
180,113
182,113
184,113
186,114
188,114
190,114
192,115
194,115
196,115
198,118
200,120
202,120
204,121
206,122
208,123
210,123
212,123
214,123
216,123
218,123
220,124
222,125
224,126
226,126
228,126
230,126
232,126
234,126
236,128
238,129
240,130
242,130
244,130
246,130
248,130
250,130
252,131
254,132
256,133
258,133
260,133
262,134
264,134
266,135
268,136
270,136
272,136
274,136
276,136
278,136
280,136
282,137
284,137
286,137
288,137
290,137
292,137
294,139
296,140
298,140
300,140
302,141
304,141
306,141
308,143
310,143
312,143
314,144
316,144
318,145
320,145
322,145
324,146
326,146
328,146
330,146
332,146
334,147
336,147
338,147
340,147
342,147
344,147
346,148
348,149
350,149
352,149
354,150
356,150
358,150
360,150
362,150
364,150
366,151
368,151
370,151
372,151
374,151
376,151
378,151
380,152
382,152
384,152
386,153
388,153
390,153
392,153
394,153
396,154
398,154
