Time,Retransmissions
2,0
4,1
6,3
8,3
10,4
12,5
14,6
16,7
18,7
20,8
22,9
24,10
26,10
28,12
30,13
32,15
34,16
36,17
38,19
40,19
42,21
44,24
46,25
48,25
50,26
52,26
54,26
56,28
58,30
60,31
62,31
64,32
66,32
68,34
70,36
72,37
74,37
76,37
78,38
80,38
82,39
84,39
86,40
88,41
90,42
92,43
94,44
96,46
98,47
100,47
102,49
104,50
106,51
108,52
110,53
112,53
114,55
116,57
118,59
120,60
122,61
124,61
126,63
128,64
130,65
132,66
134,66
136,67
138,69
140,70
142,71
144,73
146,73
148,74
150,74
152,76
154,77
156,78
158,79
160,79
162,80
164,82
166,82
168,84
170,86
172,88
174,88
176,90
178,91
180,92
182,93
184,95
186,96
188,97
190,98
192,100
194,100
196,102
198,103
200,104
202,106
204,108
206,110
208,110
210,111
212,111
214,113
216,114
218,114
220,117
222,118
224,120
226,122
228,123
230,123
232,124
234,126
236,126
238,127
240,128
242,130
244,131
246,132
248,133
250,135
252,137
254,138
256,140
258,141
260,142
262,144
264,144
266,145
268,145
270,146
272,146
274,148
276,150
278,151
280,152
282,153
284,153
286,153
288,156
290,158
292,159
294,160
296,162
298,163
300,164
302,164
304,165
306,167
308,168
310,168
312,169
314,170
316,170
318,171
320,172
322,173
324,174
326,175
328,175
330,177
332,178
334,180
336,182
338,183
340,183
342,183
344,184
346,186
348,186
350,187
352,188
354,189
356,190
358,190
360,190
362,191
364,192
366,192
368,193
370,195
372,195
374,195
376,196
378,196
380,197
382,197
384,198
386,199
388,200
390,201
392,201
394,203
396,204
398,205
400,206
402,206
404,209
406,210
408,212
410,214
412,215
414,216
416,217
418,219
420,220
422,222
424,223
426,224
428,226
430,226
432,228
434,230
436,231
438,233
440,234
442,234
444,236
446,238
448,239
450,240
452,241
454,243
456,245
458,246
460,246
462,247
464,247
466,249
468,251
470,252
472,253
474,253
476,254
478,256
480,256
482,258
484,259
486,261
488,263
490,265
492,266
494,267
496,268
498,269
500,270
502,270
504,271
506,273
508,273
510,274
512,276
514,276
516,277
518,278
